Name,City,State
Dr. B. R. Ambedkar Institute of Technology,South Andaman,Andaman and Nicobar Islands
Srinivasa Institute of Engineering and Technology,Amalapuram,Andhra Pradesh
Dadi Institute of Engineering & Technology (DIET),Anakapalle,Andhra Pradesh
Jawaharlal Nehru Technological University,Ananthapuramu,Andhra Pradesh
Bapatla Engineering College,Bapatla,Andhra Pradesh
Bapatla Women`s Engineering College,Bapatla,Andhra Pradesh
Bonam Venkata Chalamaiah Institute of Technology and Science,Bhatlapalem,Andhra Pradesh
Sagi Ramakrishnam Raju Engineering College,Bhimavaram,Andhra Pradesh
Shri Vishnu Engineering College for Women,Bhimavaram,Andhra Pradesh
Vishnu Institute of Technology,Bhimavaram,Andhra Pradesh
Chebrolu Engineering College,Chebrolu,Andhra Pradesh
St Anns College of Engineering and Technology,CHIRALA,Andhra Pradesh
"M.J.R. College of Engineering & Technology, Pulicherla",Chittoor,Andhra Pradesh
Sreenivasa Institute of Technology and Management Studies,Chittoor,Andhra Pradesh
Sri Venkateswara College of Engineering & Technology,Chittoor,Andhra Pradesh
Vemu Institute of Technology,Chittoor,Andhra Pradesh
Ramachandra College of Engineering,Eluru,Andhra Pradesh
SIR C R REDDY COLLEGE OF ENGINEERING,Eluru,Andhra Pradesh
Gates Institute of Technology,Gooty,Andhra Pradesh
Gudlavalleru Engineering College,Gudlavalleru,Andhra Pradesh
Audisankara College of Engineering & Technology,Gudur,Andhra Pradesh
Narayana Engineering College,Gudur,Andhra Pradesh
Chalapathi Institute of Engineering and Technology,Guntur,Andhra Pradesh
Eswar College of Engineering,Guntur,Andhra Pradesh
Kallam Haranadhareddy Institute of Technology,Guntur,Andhra Pradesh
"KKR&KSR Institute of Technology & Sciences, VINJANAMPADU Village (CC-JR)",Guntur,Andhra Pradesh
R. V. R. & J. C. College of Engineering,Guntur,Andhra Pradesh
Sri Mittapalli College of Engineering,Guntur,Andhra Pradesh
Sri Mittapalli Institute of Technology for Women,Guntur,Andhra Pradesh
"Tirumala Engineering College, Jonnalagadda(Post), Narasaraopet, PIN-522601(CC-NE)",Guntur,Andhra Pradesh
Vasireddy Venkatadri Institute of Technology,Guntur,Andhra Pradesh
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh
